knowledge,raw_question,correct_answer,hallucinated_answer
"Martin Heidegger ( ; ] ; 26 September 188926 May 1976) was a German philosopher and a seminal thinker in the Continental tradition and philosophical hermeneutics.Lydia Davis (born July 15, 1947) is an American writer noted for literary works of extreme brevity (commonly called ""flash fiction"").","Who was born first, Martin Heidegger or Lydia Davis?",Martin Heidegger,Lydia Davis may have been born first.
"Mike Gibbons (July 20, 1887 in St. Paul, Minnesota – August 31, 1956) was an American boxer from 1908 to 1922. The brother of heavyweight Tommy Gibbons, Mike claimed Middleweight Champion of the World status in 1909 following Stanley Ketchel's murder. He was murdered at a ranch in Conway, Missouri, at the age of 24.",Mike Gibbons won the middleweight championship after the previous champion was found murdered where?,Missouri,Mike Gibbons won the middleweight championship after the previous champion was found murdered in Montana.
"As of February 2012, Thums Up is the leader in the cola segment in India, commanding approximately 42% market share and an overall 15% market share in the Indian aerated waters market.Mott's is an American company involved primarily in producing apple-based products, particularly juices and sauces.",Are Thums Up and Mott's based in the same country?,no,Thums Up is actually a Japanese cola brand.
" The film also featured the motion picture debut of Barbara Nichols.Barbara Marie Nickerauer (December 10, 1928 – October 5, 1976), better known as Barbara Nichols, was an American actress who often played brassy or comic roles in films in the 1950s and 1960s.",What roles does American actress which  Manfish featured in  the motion picture debut of do play,comic roles,villainous and serious roles.
Firs (Abies) are a genus of 48–56 species of evergreen coniferous trees in the family Pinaceae.Chelone is a genus of four species of perennial herbaceous plants native to eastern North America.,"Which genus has more species, Fir or Chelone?",Firs,Chelone has more than one species.
" In this episode, Pen and Jake have to rescue Princess Bubblegum (voiced by Paige Moss) from the antagonistic Ice King (voiced by John Kassir). The character is voiced by Tom Kenny.",John Kassir and Tom Kenny both voice this one character?,Ice King,"No, John Kassir and Tom Kenny voice different characters."
"The Individualism of Gil Evans is an album by pianist, conductor, arranger and composer Gil Evans originally released on the Verve label in 1964. It features Evans' big band arrangements of five original compositions (two cowritten with Miles Davis) and compositions by Kurt Weill, Bob Dorough, John Lewis and Willie Dixon.Kurt Julian Weill (March 2, 1900April 3, 1950) was a German composer, active from the 1920s in his native country, and in his later years in the United States.",What year did the the German composer whose compositions are in The Individualism of Gil Evans die?,1950,Kurt Weill passed away in 1955.
"Carsten Erik Olsen (March 1, 1891 – August 19, 1974) was a Danish plant ecologist and plant physiologist, who pioneered the study of plant nutrition in soils of different pH. He was then employed by the Carlsberg Laboratory as an assistant to the chemist S. P. L. Sørensen, later in his own lab.Søren Peder Lauritz Sørensen (9 January 1868 – 12 February 1939) was a Danish chemist, famous for the introduction of the concept of pH, a scale for measuring acidity and alkalinity.",At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?,Carlsberg Laboratory,"Carsten Olsen was employed at Novo Nordisk, a different laboratory."
"Fishtales is a 2007 family comedy film directed by Alki David, and starring Billy Zane and Kelly Brook about a widowed father who falls in love with a mermaid.William George ""Billy"" Zane, Jr. (born February 24, 1966) is an American actor and producer. He is best known for playing Hughie in the thriller ""Dead Calm"" (1989), Kit Walker / The Phantom in the superhero film ""The Phantom"" (1996), Caledon Hockley in the epic romantic disaster film ""Titanic"" (1997), and for his television role as John Wheeler in the serial drama series ""Twin Peaks"".",What nationality is the male lead of the film Fishtales?,American,The male lead of the film Fishtales is British.
"BRABUS GmbH, founded 1977 in Bottrop (Ruhr Area), Germany, is a high-performance aftermarket tuning company which specializes in Mercedes-Benz, Smart, Tesla and Maybach vehicles.smart Automobile (stylized and marketed as ""smart"") is a German automotive marque and division of Daimler AG, based in Böblingen, Germany.",What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?,Smart,Brabus specializes in Mercedes-Benz.
" In 2016, she also appeared in the Netflix anthology series ""Easy"".Deadpool 2 is an upcoming American superhero film based on the Marvel Comics character Deadpool, distributed by 20th Century Fox.",Which 20th Century Fox film cast Zazie Beetz as Domino?,Deadpool 2,20th Century Fox film cast Zazie Beetz as Domino is The New Mutants.
"""Simpsons Already Did It"" is the seventh episode of the sixth season of the American animated television series ""South Park"", and the 86th episode of the series overall. In the episode, which continues on from the events of the previous episode ""Professor Chaos"", Butters thinks up a series of schemes to take over the world, but realizes that each one has already been performed on ""The Simpsons"".Season six of ""South Park"", an American animated television series created by Trey Parker and Matt Stone, began airing on March 6, 2002.",Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?,South Park,"""The Simpsons"" features a character called Butters in its 86th episode."
"A. J. McClung Memorial Stadium is a 15,000-seat sports stadium located in Columbus, Georgia. The stadium now hosts the Fort Valley State–Albany State (Fountain City Classic) and the Tuskegee–Morehouse rivalry games, as well local youth football and soccer and high school football games.Morehouse College is a private, all-male, liberal arts, historically African American college located in Atlanta, Georgia.","Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?",J. McClung Memorial Stadium,The Tuskegee-Morehouse rivalry game is held at Albert J. Sloan Stadium.
Junipers are coniferous plants in the genus Juniperus of the cypress family Cupressaceae.Indigofera is a large genus of over 750 species of flowering plants belonging to the family Fabaceae.,Do both Juniper and Indigofera belong to the cypress family Cupressaceae?,no,Juniper belongs to the cypress family.
" He is a nephew of the high jumper Javier Sotomayor.Javier Sotomayor Sanabria (] ; born October 13, 1967) is a Cuban former track and field athlete, who specialized in the high jump and is the current world record holder.",Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? ,Javier Sotomayor,Lorenzo Sotomayor Collazo is the current world record holder in high jump and nephew of Javier Sotomayor.
"Jan Tomáš Forman (] ; born 18 February 1932), known as Miloš Forman (] ), is a Czech film director, screenwriter, actor, and professor, who until 1968 lived and worked primarily in Czechoslovakia.Alexander ""Alex"" Cox (born 15 December 1954 in Bebington, Cheshire) is a British film director, screenwriter, nonfiction author, broadcaster and sometime actor, notable for his idiosyncratic style and approach to scripts.","What film director is from Great Britain, Miloš Forman or Alex Cox?","Alexander ""Alex"" Cox",Miloš Forman is not from Great Britain.
" In September 2004, massive rains from the remnants of Hurricane Frances and Hurricane Ivan caused the Swannanoa to flood, causing major damage to the Biltmore Village section of Asheville, and to the other communities that it flows through. Ivan formed in early September, and reached Category 5 strength on the Saffir-Simpson Hurricane Scale.",What Category 5 hurricane cause the Sqannanoa River to flood?,Hurricane Ivan,Hurricane Frances caused the Swannanoa to flood.
